"","rep","plate","sample","sampletype","full","totseq","OTUs"
"E17K1_P2r1","1","P2","E17K1","ExtractBlank","E17K1_P2r1",1,1
"E17K1_P2r2","2","P2","E17K1","ExtractBlank","E17K1_P2r2",7,1
"E17K1_P2r3","3","P2","E17K1","ExtractBlank","E17K1_P2r3",1,1
"E18K2_P2r1","1","P2","E18K2","ExtractBlank","E18K2_P2r1",2,1
"E18K2_P2r2","2","P2","E18K2","ExtractBlank","E18K2_P2r2",9,1
"E18K2_P2r3","3","P2","E18K2","ExtractBlank","E18K2_P2r3",0,0
"E19K3_P2r1","1","P2","E19K3","ExtractBlank","E19K3_P2r1",1,1
"E19K3_P2r2","2","P2","E19K3","ExtractBlank","E19K3_P2r2",1,1
"E19K3_P2r3","3","P2","E19K3","ExtractBlank","E19K3_P2r3",0,0
"E20K4_P2r1","1","P2","E20K4","ExtractBlank","E20K4_P2r1",99,4
"E20K4_P2r2","2","P2","E20K4","ExtractBlank","E20K4_P2r2",87,3
"E20K4_P2r3","3","P2","E20K4","ExtractBlank","E20K4_P2r3",132,4
"E21K5_P2r1","1","P2","E21K5","ExtractBlank","E21K5_P2r1",5,1
"E21K5_P2r2","2","P2","E21K5","ExtractBlank","E21K5_P2r2",1,1
"E21K5_P2r3","3","P2","E21K5","ExtractBlank","E21K5_P2r3",6,1
"E22K6_P2r1","1","P2","E22K6","ExtractBlank","E22K6_P2r1",3,1
"E22K6_P2r2","2","P2","E22K6","ExtractBlank","E22K6_P2r2",0,0
"E22K6_P2r3","3","P2","E22K6","ExtractBlank","E22K6_P2r3",0,0
"E23K7_P2r1","1","P2","E23K7","ExtractBlank","E23K7_P2r1",12,1
"E23K7_P2r2","2","P2","E23K7","ExtractBlank","E23K7_P2r2",14,1
"E23K7_P2r3","3","P2","E23K7","ExtractBlank","E23K7_P2r3",0,0
"E24K8_P2r1","1","P2","E24K8","ExtractBlank","E24K8_P2r1",0,0
"E24K8_P2r2","2","P2","E24K8","ExtractBlank","E24K8_P2r2",3,1
"E24K8_P2r3","3","P2","E24K8","ExtractBlank","E24K8_P2r3",0,0
"E25K1_P2r1","1","P2","E25K1","ExtractBlank","E25K1_P2r1",297,3
"E25K1_P2r2","2","P2","E25K1","ExtractBlank","E25K1_P2r2",49,5
"E25K1_P2r3","3","P2","E25K1","ExtractBlank","E25K1_P2r3",53,4
"E26K2_P2r1","1","P2","E26K2","ExtractBlank","E26K2_P2r1",65,3
"E26K2_P2r2","2","P2","E26K2","ExtractBlank","E26K2_P2r2",94,2
"E26K2_P2r3","3","P2","E26K2","ExtractBlank","E26K2_P2r3",118,3
"E27K3_P2r1","1","P2","E27K3","ExtractBlank","E27K3_P2r1",0,0
"E27K3_P2r2","2","P2","E27K3","ExtractBlank","E27K3_P2r2",64,2
"E27K3_P2r3","3","P2","E27K3","ExtractBlank","E27K3_P2r3",119,2
"E28K4_P2r1","1","P2","E28K4","ExtractBlank","E28K4_P2r1",1,1
"E28K4_P2r2","2","P2","E28K4","ExtractBlank","E28K4_P2r2",5,1
